51344 src/debug/libpmem/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:453:1:memmove_movnt_avx512f_clwb dynamic,bounded  
51344 src/debug/libpmem/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:444:1:memmove_movnt_avx512f_clflushopt dynamic,bounded  
51344 src/debug/libpmem/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:435:1:memmove_movnt_avx512f_clflush dynamic,bounded  
51344 src/debug/libpmem/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:426:1:memmove_movnt_avx512f_empty dynamic,bounded  
51344 src/debug/libpmem/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:418:1:memmove_movnt_avx512f_noflush dynamic,bounded  
51344 src/debug/libpmem2/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:453:1:memmove_movnt_avx512f_clwb dynamic,bounded  
51344 src/debug/libpmem2/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:444:1:memmove_movnt_avx512f_clflushopt dynamic,bounded  
51344 src/debug/libpmem2/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:435:1:memmove_movnt_avx512f_clflush dynamic,bounded  
51344 src/debug/libpmem2/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:426:1:memmove_movnt_avx512f_empty dynamic,bounded  
51344 src/debug/libpmem2/memcpy_nt_avx512f.su:memcpy_nt_avx512f.c:418:1:memmove_movnt_avx512f_noflush dynamic,bounded  
50640 src/debug/libpmem/memcpy_t_avx512f.su:memcpy_t_avx512f.c:433:1:memmove_mov_avx512f_clwb dynamic,bounded  
50640 src/debug/libpmem/memcpy_t_avx512f.su:memcpy_t_avx512f.c:424:1:memmove_mov_avx512f_clflushopt dynamic,bounded  
50640 src/debug/libpmem/memcpy_t_avx512f.su:memcpy_t_avx512f.c:416:1:memmove_mov_avx512f_clflush dynamic,bounded  
50640 src/debug/libpmem/memcpy_t_avx512f.su:memcpy_t_avx512f.c:408:1:memmove_mov_avx512f_empty dynamic,bounded  
50640 src/debug/libpmem/memcpy_t_avx512f.su:memcpy_t_avx512f.c:400:1:memmove_mov_avx512f_noflush dynamic,bounded  
50640 src/debug/libpmem2/memcpy_t_avx512f.su:memcpy_t_avx512f.c:433:1:memmove_mov_avx512f_clwb dynamic,bounded  
50640 src/debug/libpmem2/memcpy_t_avx512f.su:memcpy_t_avx512f.c:424:1:memmove_mov_avx512f_clflushopt dynamic,bounded  
50640 src/debug/libpmem2/memcpy_t_avx512f.su:memcpy_t_avx512f.c:416:1:memmove_mov_avx512f_clflush dynamic,bounded  
50640 src/debug/libpmem2/memcpy_t_avx512f.su:memcpy_t_avx512f.c:408:1:memmove_mov_avx512f_empty dynamic,bounded  
50640 src/debug/libpmem2/memcpy_t_avx512f.su:memcpy_t_avx512f.c:400:1:memmove_mov_avx512f_noflush dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:437:1:memmove_movnt_avx_clwb_wcbarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:428:1:memmove_movnt_avx_clflushopt_wcbarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:419:1:memmove_movnt_avx_clflush_wcbarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:411:1:memmove_movnt_avx_empty_wcbarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:402:1:memmove_movnt_avx_noflush_wcbarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:391:1:memmove_movnt_avx_clwb_nobarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:382:1:memmove_movnt_avx_clflushopt_nobarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:373:1:memmove_movnt_avx_clflush_nobarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:365:1:memmove_movnt_avx_empty_nobarrier dynamic,bounded  
24144 src/debug/libpmem/memcpy_nt_avx.su:memcpy_nt_avx.c:356:1:memmove_movnt_avx_noflush_nobarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:437:1:memmove_movnt_avx_clwb_wcbarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:428:1:memmove_movnt_avx_clflushopt_wcbarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:419:1:memmove_movnt_avx_clflush_wcbarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:411:1:memmove_movnt_avx_empty_wcbarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:402:1:memmove_movnt_avx_noflush_wcbarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:391:1:memmove_movnt_avx_clwb_nobarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:382:1:memmove_movnt_avx_clflushopt_nobarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:373:1:memmove_movnt_avx_clflush_nobarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:365:1:memmove_movnt_avx_empty_nobarrier dynamic,bounded  
24144 src/debug/libpmem2/memcpy_nt_avx.su:memcpy_nt_avx.c:356:1:memmove_movnt_avx_noflush_nobarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:422:1:memmove_movnt_sse2_clwb_wcbarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:413:1:memmove_movnt_sse2_clflushopt_wcbarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:404:1:memmove_movnt_sse2_clflush_wcbarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:395:1:memmove_movnt_sse2_empty_wcbarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:386:1:memmove_movnt_sse2_noflush_wcbarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:375:1:memmove_movnt_sse2_clwb_nobarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:366:1:memmove_movnt_sse2_clflushopt_nobarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:357:1:memmove_movnt_sse2_clflush_nobarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:348:1:memmove_movnt_sse2_empty_nobarrier dynamic,bounded  
21168 src/debug/libpmem/memcpy_nt_sse2.su:memcpy_nt_sse2.c:339:1:memmove_movnt_sse2_noflush_nobarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:422:1:memmove_movnt_sse2_clwb_wcbarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:413:1:memmove_movnt_sse2_clflushopt_wcbarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:404:1:memmove_movnt_sse2_clflush_wcbarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:395:1:memmove_movnt_sse2_empty_wcbarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:386:1:memmove_movnt_sse2_noflush_wcbarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:375:1:memmove_movnt_sse2_clwb_nobarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:366:1:memmove_movnt_sse2_clflushopt_nobarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:357:1:memmove_movnt_sse2_clflush_nobarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:348:1:memmove_movnt_sse2_empty_nobarrier dynamic,bounded  
21168 src/debug/libpmem2/memcpy_nt_sse2.su:memcpy_nt_sse2.c:339:1:memmove_movnt_sse2_noflush_nobarrier dynamic,bounded  
19536 src/debug/libpmem/memset_nt_avx512f.su:memset_nt_avx512f.c:276:1:memset_movnt_avx512f_clwb dynamic,bounded  
19536 src/debug/libpmem/memset_nt_avx512f.su:memset_nt_avx512f.c:267:1:memset_movnt_avx512f_clflushopt dynamic,bounded  
19536 src/debug/libpmem/memset_nt_avx512f.su:memset_nt_avx512f.c:258:1:memset_movnt_avx512f_clflush dynamic,bounded  
19536 src/debug/libpmem/memset_nt_avx512f.su:memset_nt_avx512f.c:249:1:memset_movnt_avx512f_empty dynamic,bounded  
19536 src/debug/libpmem/memset_nt_avx512f.su:memset_nt_avx512f.c:241:1:memset_movnt_avx512f_noflush dynamic,bounded  
19536 src/debug/libpmem2/memset_nt_avx512f.su:memset_nt_avx512f.c:276:1:memset_movnt_avx512f_clwb dynamic,bounded  
19536 src/debug/libpmem2/memset_nt_avx512f.su:memset_nt_avx512f.c:267:1:memset_movnt_avx512f_clflushopt dynamic,bounded  
19536 src/debug/libpmem2/memset_nt_avx512f.su:memset_nt_avx512f.c:258:1:memset_movnt_avx512f_clflush dynamic,bounded  
19536 src/debug/libpmem2/memset_nt_avx512f.su:memset_nt_avx512f.c:249:1:memset_movnt_avx512f_empty dynamic,bounded  
19536 src/debug/libpmem2/memset_nt_avx512f.su:memset_nt_avx512f.c:241:1:memset_movnt_avx512f_noflush dynamic,bounded  
19024 src/debug/libpmem/memset_t_avx512f.su:memset_t_avx512f.c:280:1:memset_mov_avx512f_clwb dynamic,bounded  
19024 src/debug/libpmem/memset_t_avx512f.su:memset_t_avx512f.c:271:1:memset_mov_avx512f_clflushopt dynamic,bounded  
19024 src/debug/libpmem/memset_t_avx512f.su:memset_t_avx512f.c:263:1:memset_mov_avx512f_clflush dynamic,bounded  
19024 src/debug/libpmem/memset_t_avx512f.su:memset_t_avx512f.c:255:1:memset_mov_avx512f_empty dynamic,bounded  
19024 src/debug/libpmem/memset_t_avx512f.su:memset_t_avx512f.c:247:1:memset_mov_avx512f_noflush dynamic,bounded  
19024 src/debug/libpmem2/memset_t_avx512f.su:memset_t_avx512f.c:280:1:memset_mov_avx512f_clwb dynamic,bounded  
19024 src/debug/libpmem2/memset_t_avx512f.su:memset_t_avx512f.c:271:1:memset_mov_avx512f_clflushopt dynamic,bounded  
19024 src/debug/libpmem2/memset_t_avx512f.su:memset_t_avx512f.c:263:1:memset_mov_avx512f_clflush dynamic,bounded  
19024 src/debug/libpmem2/memset_t_avx512f.su:memset_t_avx512f.c:255:1:memset_mov_avx512f_empty dynamic,bounded  
